作业帮,教育学习,2008421.42857143,2018-01-07
高德地图,出行,4515160.0,2018-01-07
美团,便捷生活,1980431.42857143,2018-01-07
QQ浏览器,系统,2571815.71428571,2018-01-07
讯飞输入法,社交,1743270.0,2018-01-07
今日头条,视频,5024808.57142857,2018-01-07
墨迹天气,工具,1561164.28571429,2018-01-07
手机京东,育儿母婴,1826365.71428571,2018-01-07
开心消消乐,游戏,2112941.42857143,2018-01-07
酷我音乐,视频,1881625.71428571,2018-01-07
360清理大师,系统,3050824.28571429,2018-01-07
支付宝,理财,5213818.57142857,2018-01-07
腾讯新闻,阅读,1732058.57142857,2018-01-07
360免费WiFi,系统,1904544.28571429,2018-01-07
微博,阅读,2772650.0,2018-01-07
UC浏览器,系统,2430720.0,2018-01-07
腾讯视频,视频,4103760.0,2018-01-07
元贝驾考,教育学习,1717900.0,2018-01-07
爱奇艺,视频,4229607.14285714,2018-01-07
简理财,理财,2848488.57142857,2018-01-07
花椒直播-美颜椒友疯狂卖萌,社交,1936911.42857143,2018-01-07
王者荣耀,游戏,7571861.42857143,2018-01-07
万家贷,理财,7784511.42857143,2018-01-07
穿越火线：枪战王者,游戏,1716940.0,2018-01-07
兼职咸鱼-学生赚钱,便捷生活,3887058.57142857,2018-01-07
拼多多,理财,3139717.14285714,2018-01-07
东方头条,阅读,2673524.28571429,2018-01-07
斗米兼职,便捷生活,5851981.42857143,2018-01-07
点贷诚金,理财,1646768.57142857,2018-01-07
唐小僧理财,理财,6362185.71428571,2018-01-07
糯米狗-兼职赚钱,便捷生活,2617261.42857143,2018-01-07
优蓝,便捷生活,5220725.71428571,2018-01-07
火山直播,视频,3696888.57142857,2018-01-07
贝乐虎儿歌,育儿母婴,1667665.71428571,2018-01-07
迷你世界-沙盒游戏,游戏,2862804.28571429,2018-01-07
一点金库,理财,2910002.85714286,2018-01-07
金储宝,理财,5776855.71428571,2018-01-07
头条视频,视频,5567020.0,2018-01-07
米金社,理财,2417590.0,2018-01-07
A.me,摄影,2725700.0,2018-01-07
快手,视频,4408971.42857143,2018-01-07
手机淘宝,育儿母婴,4914182.85714286,2018-01-07
今日头条,理财,3016007.14285714,2018-01-07
优酷,视频,3264951.42857143,2018-01-07
天气,工具,3153508.57142857,2018-01-07
美人天气预报,工具,15005767.1428571,2018-01-07
华夏万年历-日历农历,工具,8226217.14285714,2018-01-07
云犀日历农历万年历,工具,4731180.0,2018-01-07
口袋天气,工具,4009157.14285714,2018-01-07
日历,工具,3147892.85714286,2018-01-07
日历,工具,3152580.0,2018-01-07
赚钱天气,工具,3150920.0,2018-01-07
一笔记账,工具,3659485.71428571,2018-01-07
快视频,视频,5040995.71428571,2018-01-07
51卡宝,办公商务,1921890.0,2018-01-07
最强手电,工具,3448402.85714286,2018-01-07
银谷在线,理财,2259725.71428571,2018-01-07
七彩,系统,3164821.42857143,2018-01-07
大象笔记-笔记本,办公商务,3136152.85714286,2018-01-07
犀牛日记-日记本,办公商务,3137672.85714286,2018-01-07
光影锁屏-手机主题壁纸,系统,2991791.42857143,2018-01-07
兼职王者,生活服务,1817035.71428571,2018-01-07
阿瓦隆Online,社交,1988171.42857143,2018-01-07
喵喵计算器,工具,3149690.0,2018-01-07
体彩大赢家,理财,3141695.71428571,2018-01-07
车蚁金服,理财,2224900.0,2018-01-07
美厨美食,生活服务,3138884.28571429,2018-01-07
外婆菜谱,生活服务,3135742.85714286,2018-01-07
天气王-天气预报,工具,3152502.85714286,2018-01-07
钱堡理财,理财,1652372.85714286,2018-01-07
好兔视频,视频,11183438.5714286,2018-01-07
蔚蓝小说,阅读,6326675.71428571,2018-01-07
我的世界-中国正版,游戏,1967117.14285714,2018-01-07
小说,阅读,7163607.14285714,2018-01-07
探探手电筒,工具,2801544.28571429,2018-01-07
天气,工具,3187415.71428571,2018-01-07
荒野行动,游戏,4066172.85714286,2018-01-07
原油期货宝,理财,12059578.5714286,2018-01-07
国金期货交易,理财,7726544.28571429,2018-01-07
促促优惠券返利,购物,2879507.14285714,2018-01-07
打卡助手,办公商务,1604037.14285714,2018-01-07
免费小说,阅读,7313872.85714286,2018-01-07
soul阅读,阅读,1854110.0,2018-01-07
爆裂抓娃娃,社交,2440640.0,2018-01-07
美美天气通,工具,1668668.57142857,2018-01-07
酷狗音乐,视频,5411438.57142857,2018-01-07
QQ音乐,视频,2269572.85714286,2018-01-07
搜狗输入法,系统,2161784.28571429,2018-01-07
微信,社交,10491420.0,2018-01-07
咪咕阅读,阅读,3788422.85714286,2018-01-07
苏宁易购,购物,1594120.0,2018-01-07
飞卢小说,阅读,4445720.0,2018-01-07
百度地图,出行,2029887.14285714,2018-01-07
360手机卫士-一键连免费wifi,系统,11231384.2857143,2018-01-07
360影视大全,视频,2393577.14285714,2018-01-07
QQ,社交,2911094.28571429,2018-01-07
WiFi万能钥匙,系统,7663661.42857143,2018-01-07
荔枝FM,视频,2162708.57142857,2018-01-07
360浏览器,系统,5777738.57142857,2018-01-07
安居客,便捷生活,2530224.28571429,2018-01-07
心理FM,视频,2948.57142857143,2018-02-04
铃声多多,视频,782899.285714286,2018-02-04
华为音乐,视频,293427.857142857,2018-02-04
完美钢琴,工具,7232.14285714286,2018-02-04
K歌达人,视频,8271.42857142857,2018-02-04
K米,视频,12295.7142857143,2018-02-04
钢琴,工具,4097.14285714286,2018-02-04
酷音铃声,视频,75822.8571428571,2018-02-04
真实架子鼓,视频,3932.14285714286,2018-02-04
唱吧,视频,214941.428571429,2018-02-04
