类别,app个数,月下载量变化,日期
理财,3516,245109252.9,2018年10月
生活服务,4909,23137915.71,2018年10月
社交,3138,40041570,2018年10月
系统,5642,77151904.29,2018年10月
育儿母婴,1958,17953392.86,2018年10月
视频,2905,44759365.71,2018年10月
购物,2582,11891987.14,2018年10月
运动健康,2145,5371761.429,2018年10月
阅读,2805,210730774.3,2018年10月
音乐,751,11367437.14,2018年10月
便捷生活,2175,7710818.571,2018年11月
出行,3580,3334397.143,2018年11月
办公商务,3551,10486337.14,2018年11月
工具,6641,35301377.14,2018年11月
摄影,2942,3954955.714,2018年11月
教育学习,4566,11722470,2018年11月
旅游酒店,1866,727851.4286,2018年11月
游戏,696,5383062.857,2018年11月
理财,3630,88672765.71,2018年11月
生活服务,5049,10555302.86,2018年11月
社交,3273,9835838.571,2018年11月
系统,5739,17310248.57,2018年11月
育儿母婴,1995,9158348.571,2018年11月
视频,2975,13296218.57,2018年11月
购物,2722,5287307.143,2018年11月
运动健康,2222,1679305.714,2018年11月
阅读,2899,47181411.43,2018年11月
音乐,760,2243982.857,2018年11月
